"9Online","9District","9Age","9Income","9Tenure","9Profit","0Profit"
0,1200,3,3,5.91,236,-72
0,1200,6,3,23.08,-9,-70
0,1200,3,9,14.58,-142,49
0,1300,6,4,17.83,1,-48
0,1300,5,4,0.75,10,11
1,1300,3,8,9.58,-11,584
0,1200,6,9,3.33,1941,1115
0,1200,3,3,6.41,83,80
0,1200,4,1,16.5,42,-37
0,1200,NA,NA,7.25,-2,NA
0,1200,4,5,13.91,-49,-48
0,1200,3,8,7.83,-21,-9
0,1300,NA,NA,1.25,11,NA
0,1200,NA,NA,19.08,162,318
0,1300,7,6,13.08,-9,NA
0,1100,2,1,9.33,83,5
0,1200,4,9,15.41,-128,-78
0,1100,4,1,0.91,-28,-26
0,1100,3,5,9,26,40
0,1300,3,6,5.91,187,191
0,1300,NA,NA,19.5,-63,-44
1,1200,4,9,12.08,1238,1226
0,1200,3,5,4.58,200,NA
0,1300,3,6,9.58,71,201
0,1100,2,5,2.91,-104,-116
0,1200,4,7,0.66,782,579
0,1200,4,6,25.33,-183,-168
0,1200,6,2,26.5,-220,-117
1,1200,4,9,21.08,356,1020
0,1200,6,6,40.33,161,NA
0,1200,NA,NA,3.75,10,-19
0,1200,7,1,12.5,215,231
1,1200,2,7,3.41,76,187
0,1200,5,9,20.5,286,401
0,1300,3,6,2.58,27,NA
0,1200,NA,NA,3.66,13,-9
0,1200,NA,NA,5.58,-9,NA
0,1200,2,3,4.83,-62,NA
0,1100,6,7,25.58,509,NA
0,1200,4,6,11.75,8,8
0,1200,3,2,13.58,-14,39
0,1200,2,3,0.75,-189,57
0,1200,1,NA,2.41,36,20
0,1200,NA,NA,27.25,-20,NA
0,1100,7,4,16.33,59,296
1,1200,NA,NA,0.25,-54,NA
1,1200,NA,NA,0.41,12,24
0,1300,2,1,3.41,-29,-28
0,1200,3,3,19.41,82,363
0,1200,NA,NA,1.75,-32,NA
0,1200,6,5,40.41,736,616
0,1200,NA,6,10.66,-59,-33
0,1200,3,7,7.66,-96,-100
0,1300,1,1,2.41,-2,NA
0,1200,4,6,8.41,-35,-23
0,1200,1,5,6.83,-28,-18
0,1200,7,4,4.41,-47,-29
0,1200,NA,1,7.25,-19,NA
0,1100,4,3,16,-21,-17
0,1200,NA,NA,7.08,-74,NA
0,1200,5,9,5.5,809,1011
0,1200,2,9,0.75,-8,12
0,1100,NA,1,11.58,-16,-16
0,1200,3,6,4.66,70,-147
0,1200,NA,NA,34.33,166,NA
0,1100,5,3,2.33,719,-27
0,1200,NA,NA,4.58,-12,NA
0,1200,4,9,29.83,-51,282
0,1100,NA,NA,23.58,61,157
0,1200,5,1,2.5,-110,1005
0,1200,6,3,31.66,-27,24
0,1200,3,8,2.25,0,0
0,1200,2,4,11.08,34,34
0,1300,2,1,11.66,-61,-70
0,1200,3,6,15.08,279,356
0,1200,NA,NA,16,78,259
0,1200,NA,NA,4.25,621,NA
0,1200,2,5,6.33,257,184
0,1300,NA,NA,12.41,332,178
0,1200,NA,NA,10.83,33,39
0,1300,5,9,17.16,235,309
0,1300,NA,NA,0.33,20,NA
1,1200,4,7,8.16,289,90
0,1200,2,6,4.91,-54,-31
1,1200,3,1,3.91,362,NA
0,1200,4,NA,5.66,-21,-21
0,1200,4,5,17,84,-10
0,1200,2,4,10.91,-176,-141
0,1200,NA,NA,2.33,-1,-108
0,1200,3,9,10.66,1949,1633
0,1200,NA,NA,0.25,15,-27
1,1200,NA,NA,11.91,-41,-66
0,1200,4,7,6.41,43,118
0,1200,NA,6,2,-32,-29
0,1200,2,3,2.58,-4,103
0,1200,NA,NA,2.66,-1,-30
0,1200,3,9,16.58,154,-200
1,1300,6,6,30.66,-148,-166
0,1300,6,7,31.66,37,203
0,1200,7,6,15.25,-7,-55
0,1100,3,5,8.25,99,-38
0,1200,5,6,28.41,208,330
0,1200,3,4,5.75,478,421
0,1200,NA,NA,9.5,4,8
0,1300,3,7,16.91,-40,-15
0,1200,3,4,3.41,-46,-8
0,1300,7,4,3.5,-132,114
0,1100,7,4,19.33,-63,-50
0,1300,4,4,3.5,-41,-78
0,1300,3,5,17.75,145,112
0,1200,3,4,4.16,-21,23
0,1200,1,6,6.08,92,46
0,1200,4,9,15.16,-30,-11
0,1200,1,9,0.83,140,NA
1,1200,3,6,3.75,-80,24
0,1200,4,6,5.08,83,450
0,1300,3,4,14.58,96,83
0,1200,4,6,14.83,-82,-20
0,1200,4,6,10.66,88,36
0,1100,NA,NA,17.25,10,26
1,1200,4,6,10,180,113
0,1100,6,6,18.91,-30,-11
0,1200,3,6,2.91,23,115
0,1200,3,8,14.91,121,83
0,1300,7,9,27.41,765,913
0,1200,3,5,8,-27,-29
0,1200,1,5,5,-120,-73
0,1200,3,7,10.33,30,-47
0,1100,NA,NA,5,-2,-2
0,1200,2,5,7.41,-112,-138
1,1300,NA,NA,8.83,45,-26
0,1200,NA,NA,23.58,-21,-19
0,1300,NA,NA,1,-27,NA
0,1100,NA,NA,5.66,-17,NA
0,1200,NA,NA,9.33,91,15
1,1200,NA,3,0.5,-49,18
0,1200,3,9,7.58,704,364
0,1200,4,7,6.5,0,20
0,1200,5,3,3.66,190,-75
0,1200,7,3,29.75,-87,-83
0,1200,3,7,2.5,176,NA
0,1200,7,1,18.91,27,15
0,1200,5,4,7,455,NA
0,1200,3,1,14.33,2,150
0,1200,NA,NA,8.5,-33,-3
0,1200,4,6,8.66,212,-36
1,1200,4,3,19,378,235
0,1200,NA,NA,4.16,-26,-24
0,1200,5,1,3.58,2,14
0,1200,NA,NA,6.5,-88,-110
0,1200,NA,NA,7.83,81,96
1,1200,5,7,7.83,255,-92
0,1200,4,5,16.66,-147,-48
0,1100,7,5,29.25,-176,NA
0,1200,7,7,4.16,2,0
1,1200,2,7,5.16,132,156
0,1200,NA,NA,12.5,1894,NA
0,1200,5,5,30.66,-130,-154
1,1200,3,2,15.25,-89,6
0,1300,3,2,1.58,151,419
0,1200,3,3,2.66,-58,36
0,1200,3,4,0.91,-20,-116
0,1200,2,2,3.66,9,341
0,1200,5,9,39.25,252,287
0,1200,4,8,10.08,-24,-27
1,1200,2,5,2.58,-48,-64
1,1200,4,7,7.66,-29,-16
0,1200,7,6,5.75,-105,NA
0,1200,3,9,18.66,-17,-31
0,1300,3,3,8.33,0,-5
0,1200,3,6,6.66,9,38
0,1200,4,8,18.08,-26,-81
0,1200,5,6,25.66,84,-101
0,1200,5,8,25.58,932,136
0,1200,6,6,8.58,-84,-13
0,1200,6,6,18.91,113,114
0,1200,4,6,7.58,-38,-3
0,1200,NA,NA,0.66,2,7
1,1100,4,4,24.25,876,336
0,1200,2,9,7.66,332,470
1,1100,NA,4,26.25,224,1120
0,1200,3,1,2.83,14,13
0,1200,4,7,3.58,149,35
0,1200,3,5,11.66,127,32
0,1200,4,6,7.41,-84,-40
0,1200,3,6,5.33,-7,136
0,1200,6,6,14.5,-2,-2
0,1300,6,3,34.25,1392,223
0,1200,NA,NA,7.16,-2,NA
0,1200,2,6,5.08,-45,-74
0,1200,1,3,1.66,-59,-13
0,1200,7,3,7.33,1281,1128
1,1200,2,6,3.5,-54,-74
0,1100,7,3,26.83,-15,357
1,1200,NA,NA,4.75,1,NA
0,1100,NA,NA,3.66,-2,-3
0,1200,2,4,2.08,-2,-2
0,1200,NA,NA,9.16,-91,NA
0,1100,3,2,4.33,83,NA
0,1200,NA,NA,16.75,-9,22
0,1200,3,6,6.58,468,740
0,1200,4,9,18,-57,369
1,1200,NA,NA,6.66,-20,-9
0,1100,NA,NA,5.5,-83,-105
0,1200,3,6,10.5,-150,-163
0,1200,5,6,37.33,-32,2
0,1100,NA,3,5.58,-62,NA
0,1200,3,8,8.75,108,157
0,1200,4,5,14.66,-35,0
0,1200,4,5,13.83,154,119
0,1200,6,6,34.25,544,655
1,1200,NA,NA,3.41,-114,NA
0,1300,7,9,35.66,179,128
0,1200,NA,NA,9.75,174,195
0,1200,5,7,23.83,462,587
0,1200,5,6,14.58,-63,-65
0,1200,4,5,8.66,-197,-223
1,1200,2,8,0.33,-77,282
0,1200,NA,NA,7.16,79,132
0,1200,NA,NA,27,32,91
0,1300,NA,NA,3.08,-138,16
0,1200,NA,NA,11.33,-6,-41
0,1200,5,2,14.41,42,85
0,1300,NA,NA,1.08,10,NA
0,1300,3,6,12.83,-146,-42
0,1300,4,4,5.5,-31,-31
0,1300,4,6,18,259,121
0,1200,2,1,0.25,-31,-25
0,1100,4,4,12.91,-2,-1
0,1200,3,3,4.25,44,209
1,1100,3,5,25.75,452,423
0,1200,NA,NA,3.58,224,278
0,1200,3,9,12.91,863,1212
0,1200,2,6,5.75,-42,-21
0,1300,3,4,3.58,198,NA
0,1200,5,5,6.83,91,-46
0,1200,4,5,2.41,-58,-37
0,1200,1,4,2.75,-22,-31
0,1200,2,3,1.83,-32,89
0,1200,NA,NA,11.16,28,260
0,1300,3,7,24.91,27,39
0,1200,4,9,9.08,413,-32
0,1300,4,3,24.83,-27,1
0,1200,7,7,31.33,-68,-53
0,1200,5,9,18,366,328
0,1200,6,NA,10.91,-72,-72
0,1200,NA,NA,7.16,-2,NA
0,1200,NA,NA,7.66,27,33
0,1200,6,3,19.5,874,332
0,1200,NA,NA,5.08,-31,NA
0,1200,4,6,0.58,230,229
0,1200,5,5,3.58,-41,-23
1,1200,NA,NA,2.5,-155,-136
0,1100,7,1,18.25,40,23
0,1200,NA,NA,21.75,1471,NA
0,1200,4,6,12.66,254,506
0,1300,NA,NA,1.33,314,459
0,1200,3,6,3.33,-2,-2
0,1200,NA,2,7.41,-38,-64
0,1200,2,3,1,12,12
0,1200,NA,NA,1.75,-87,NA
0,1200,2,9,2,15,NA
0,1200,5,NA,1.33,-30,1
0,1200,7,3,26.16,46,49
0,1100,NA,NA,3.41,-38,NA
0,1200,NA,NA,13.83,184,197
0,1300,7,1,16.91,1696,551
0,1200,4,6,7.66,284,369
0,1200,2,2,2.33,-113,-138
1,1200,4,6,4.16,-129,-10
0,1200,3,6,10.41,77,84
0,1200,NA,NA,10.16,400,NA
0,1300,NA,NA,1.5,66,NA
1,1200,3,9,10.25,-30,NA
0,1200,4,3,14.83,11,-253
0,1200,NA,NA,6.75,11,NA
0,1200,6,5,14.75,159,90
1,1200,4,9,7.83,146,77
0,1200,4,1,1.66,433,NA
0,1200,7,1,24.08,184,176
0,1200,4,3,22.41,-170,-136
0,1200,7,4,26.41,13,11
0,1200,5,9,17,285,163
0,1200,NA,NA,1.33,125,NA
0,1100,2,2,3.83,-83,-83
0,1200,3,5,5.25,-120,-16
0,1200,2,9,12.91,-4,88
0,1200,NA,NA,1.66,-22,92
0,1200,NA,NA,2.91,9,-40
0,1200,6,1,31.58,-40,-52
0,1200,NA,NA,0.58,-29,-30
0,1200,NA,NA,4.25,-45,-42
0,1200,7,8,12.83,78,-45
0,1200,NA,NA,17.16,19,20
0,1200,NA,NA,1.08,-31,NA
0,1200,NA,1,7.75,41,55
0,1300,5,6,1.41,-27,-43
0,1200,5,9,15.75,184,19
1,1200,NA,NA,2.66,726,647
0,1200,4,7,11.5,-66,-58
0,1200,2,6,5.58,610,277
0,1300,4,1,6.66,-49,-44
0,1200,NA,NA,4.75,-39,-2
0,1200,NA,NA,21.08,582,685
0,1200,NA,NA,2.91,5,-18
0,1200,4,6,21.83,22,31
0,1200,5,7,2.91,0,11
0,1100,NA,NA,2,10,-54
0,1100,3,3,15.58,15,48
0,1200,2,1,7.66,17,18
0,1200,NA,NA,0.25,-30,NA
0,1200,5,8,2.75,-108,-101
0,1200,NA,NA,1.91,1,NA
0,1200,6,1,11,-114,NA
0,1200,NA,NA,1.83,-26,NA
1,1200,NA,NA,1.83,-8,-13
0,1200,7,1,29.75,457,218
0,1200,7,4,28.41,98,88
0,1200,4,2,6.75,-59,-58
0,1200,NA,NA,1.58,-1,-1
1,1200,2,3,7.25,0,35
0,1200,NA,NA,5.83,-3,NA
0,1200,4,5,1.25,548,544
1,1300,3,7,6.66,56,554
1,1200,NA,NA,1.33,36,11
0,1200,3,9,7.41,293,155
0,1200,5,5,14.83,-127,103
0,1200,2,7,8.41,-20,10
0,1200,3,6,12.33,170,-45
0,1300,NA,NA,1.41,15,11
0,1200,NA,NA,1.25,12,NA
0,1200,3,1,2.08,-30,-30
0,1200,7,3,22.08,472,663
0,1100,3,8,5.25,15,-8
0,1200,4,6,22.91,3,0
0,1200,NA,NA,2.41,-39,NA
0,1200,NA,NA,2,-7,-33
0,1200,NA,NA,7,59,NA
0,1100,6,1,9.83,-60,22
0,1200,3,9,10.91,-23,-23
0,1200,4,6,6,-1,-3
0,1200,NA,3,1.5,-68,-59
1,1200,2,6,0.58,16,-31
0,1200,2,4,1.25,172,-25
0,1200,4,6,5,216,448
0,1200,NA,NA,6.5,-2,NA
0,1200,NA,NA,7.91,-158,-151
0,1200,1,2,7.33,22,NA
0,1200,NA,NA,1.75,206,60
1,1200,2,4,7.08,102,9
0,1200,7,6,13.08,-13,14
0,1200,4,6,9.75,491,439
0,1300,4,1,6.16,-32,-35
0,1100,7,5,24.58,470,422
0,1300,3,9,3.16,-128,247
0,1200,NA,NA,22.25,-62,NA
0,1100,6,1,11.58,-72,-142
0,1200,6,4,32.16,-61,-90
0,1200,2,3,8.58,-66,NA
0,1200,NA,NA,5.33,-50,NA
0,1300,6,3,22.08,-22,22
0,1200,NA,NA,2.66,-14,-60
0,1300,6,5,5.08,-46,-45
0,1100,3,6,8.08,-64,-46
0,1200,4,7,20.33,326,664
0,1300,NA,NA,21.25,23,NA
0,1200,NA,NA,2,25,29
0,1200,NA,NA,0.91,276,NA
1,1200,3,6,12.08,-24,-22
0,1200,NA,NA,17.5,149,NA
0,1200,4,7,18.91,31,8
0,1200,NA,NA,16.75,111,NA
0,1100,7,5,1.33,278,13
0,1200,4,8,29.91,112,149
0,1200,2,9,3.83,163,406
0,1300,6,3,22.08,-78,60
0,1200,5,9,1.5,-54,NA
0,1300,2,NA,8.08,-108,NA
0,1200,6,6,26.83,770,728
1,1200,4,4,24,45,-38
0,1200,6,8,2.5,112,NA
0,1200,3,6,1.75,117,577
1,1200,NA,NA,1.5,-56,NA
0,1100,6,5,7,-67,-54
0,1100,3,5,5.75,-62,131
0,1200,5,7,8.83,45,39
0,1100,2,2,6.41,-151,NA
0,1200,NA,NA,1.33,-7,NA
0,1100,NA,NA,32.25,261,149
0,1200,4,7,3.25,128,NA
0,1300,NA,NA,34.41,-6,167
0,1200,3,6,16.25,432,323
1,1100,3,7,0.66,-31,-37
0,1100,NA,NA,1.08,63,-42
0,1300,3,1,19.83,-50,-39
0,1200,3,9,14.66,-26,-26
1,1200,NA,NA,4.91,-9,-46
0,1200,4,6,6.58,1928,1984
0,1200,4,5,0.58,-9,-24
0,1200,2,6,6.58,-6,-31
0,1200,6,6,29.58,490,NA
0,1200,3,9,4.66,-32,38
0,1200,7,7,4.75,66,22
0,1300,2,5,9.83,114,136
1,1200,2,6,2.16,-27,-17
0,1200,NA,1,9.5,-57,-20
0,1200,4,7,2.58,-23,-26
1,1200,2,8,7.75,-67,-93
0,1200,4,7,16.91,-21,-20
0,1100,2,3,2.91,-31,85
0,1200,NA,NA,14.33,-34,NA
0,1200,NA,NA,0.75,402,NA
0,1200,5,6,19.08,-15,-45
0,1200,6,6,10.25,109,99
0,1200,NA,NA,1.83,-31,-32
1,1200,4,6,18.25,-58,-44
0,1200,2,6,7.5,122,NA
0,1300,NA,NA,5.66,-30,NA
0,1200,4,5,21.41,-108,52
0,1200,2,3,4.75,-5,-13
0,1200,3,7,4.41,30,51
0,1200,4,7,17.58,-40,NA
0,1200,NA,NA,4.41,-75,-66
0,1200,4,7,10.5,247,305
0,1200,3,5,15.41,-132,-2
0,1200,NA,NA,0.25,-31,NA
0,1200,NA,NA,5.91,-21,NA
0,1200,4,7,9.16,-26,-46
0,1200,6,6,7.16,-35,-8
0,1100,7,7,1.66,-19,NA
0,1200,4,8,24.41,-37,NA
0,1200,3,1,8.91,-43,-13
0,1200,5,7,6.33,32,67
0,1200,2,4,9.5,-19,-17
0,1300,NA,NA,1.41,-31,NA
0,1200,NA,NA,1.41,15,442
0,1200,NA,NA,6.16,534,NA
0,1200,NA,NA,2.75,-12,-5
0,1300,2,3,3.58,16,13
0,1100,5,8,8.08,-18,-108
0,1200,5,7,9.58,426,-197
0,1200,3,6,17.58,13,221
0,1200,7,7,16.83,24,82
0,1300,1,NA,3.66,29,27
0,1200,5,9,15.58,198,416
0,1200,3,9,7.41,266,447
0,1200,5,4,15.91,40,2
0,1200,NA,NA,11.5,-26,NA
0,1200,3,7,6.75,488,609
0,1200,4,5,4.83,-36,12
0,1200,6,1,19,107,129
0,1200,2,5,4.41,-107,-25
0,1200,4,9,18.66,337,753
0,1200,NA,NA,1.5,-1,52
1,1200,NA,6,0.33,28,NA
0,1200,2,9,7.08,119,-76
1,1300,3,9,9.66,-57,-39
0,1200,3,6,6,116,-21
1,1200,4,9,28.5,414,422
0,1200,NA,NA,5.91,-2,31
0,1200,3,6,3.75,108,815
0,1300,NA,NA,22.66,-46,-47
0,1200,3,9,15,322,508
0,1200,3,6,8.91,-42,41
0,1300,NA,4,9.66,-49,NA
0,1200,7,3,13,321,188
0,1200,4,9,14.58,452,498
0,1200,4,4,22.33,-130,-120
0,1200,7,4,37.66,114,120
0,1200,NA,NA,5.33,-58,NA
1,1200,6,6,3.33,-157,43
0,1200,4,6,3,-36,-14
0,1200,6,2,14.16,457,NA
0,1200,3,4,6.41,49,-6
0,1200,5,5,15.25,-211,-211
0,1200,NA,NA,21.66,65,42
1,1200,2,7,6.33,-160,-58
0,1200,6,4,16.91,25,77
0,1200,3,8,0.83,30,8
0,1200,4,8,17.08,20,30
0,1200,4,5,10.75,116,103
0,1200,1,8,1.58,-27,NA
1,1200,NA,NA,1.83,122,NA
1,1200,2,7,0.83,-109,784
0,1200,NA,NA,1.41,11,18
0,1300,5,6,30.66,735,961
0,1200,5,6,10.83,-52,-45
0,1200,3,6,16.33,-29,775
0,1200,4,6,15.08,75,NA
1,1200,NA,NA,7.41,-35,24
0,1200,3,4,6.41,-1,1
0,1200,NA,NA,12.08,-19,-14
1,1200,4,5,8.58,42,82
0,1200,5,5,4.83,186,114
0,1200,7,3,2.83,-9,377
0,1200,5,9,21.5,47,78
0,1200,NA,NA,5.66,110,-81
0,1200,3,9,6.75,-77,194
1,1200,2,9,4.41,89,227
0,1200,NA,NA,1.08,-7,-6
0,1200,4,3,3.16,398,482
0,1100,4,7,6.25,295,166
0,1300,2,3,6.58,-87,-68
0,1200,3,NA,13.41,119,44
0,1200,6,3,3.41,-16,-63
0,1200,7,4,2.83,241,160
0,1200,6,3,28.25,-27,5
0,1200,NA,NA,15.66,482,358
0,1200,NA,NA,19.91,139,257
0,1200,3,4,2.66,-78,-120
0,1200,7,2,7.41,141,354
1,1300,4,5,8.5,182,349
0,1200,1,3,3.58,-50,-47
0,1200,3,6,10,148,101
0,1200,2,2,10.58,28,-57
0,1200,6,2,17.41,785,670
0,1200,4,NA,4.08,13,15
0,1200,3,9,12.08,195,121
0,1200,3,9,6.91,42,627
0,1200,4,4,7.58,64,78
0,1200,2,6,0.91,10,10
1,1200,3,8,6.5,-62,223
1,1200,4,6,13.91,320,43
0,1200,NA,NA,9,28,NA
0,1200,6,4,31.66,42,NA
0,1200,7,3,21.75,84,17
0,1200,7,6,12.33,316,279
0,1300,3,4,1.41,-20,-34
0,1200,4,8,17.83,91,210
0,1200,2,6,4.75,108,121
1,1200,5,8,5,41,-35
0,1200,2,7,5.41,344,188
0,1200,2,3,12.5,47,60
1,1200,NA,NA,3.83,-134,-111
0,1200,6,4,19.66,96,376
1,1200,3,7,8.08,272,354
0,1100,NA,NA,25.16,14,-70
0,1300,7,5,12.33,341,NA
0,1200,4,5,5.25,-13,111
0,1200,2,6,4.5,353,373
0,1200,7,3,13.25,267,287
0,1100,6,6,23.5,892,850
0,1200,7,6,10.91,-44,-79
0,1300,3,3,1,306,239
0,1200,1,5,2.25,-17,-255
0,1200,7,8,20.08,11,7
1,1200,4,7,11.5,191,246
0,1200,3,9,9.58,268,-9
1,1300,NA,NA,1.33,-30,164
0,1300,2,4,9.83,-25,-19
0,1200,4,8,2.91,51,270
0,1200,4,6,11.5,-53,-54
0,1200,NA,NA,23.16,-12,NA
0,1200,2,9,8.08,506,298
1,1200,5,9,4.5,246,170
0,1200,4,6,0.66,43,48
0,1300,NA,6,3.41,803,-9
1,1200,4,7,4.83,-142,-185
0,1200,NA,NA,10.16,33,NA
0,1200,5,8,23.41,37,52
0,1300,2,4,4.16,-103,NA
0,1200,NA,NA,2.66,-73,NA
0,1200,2,5,0.58,-24,-41
0,1200,NA,NA,2.41,1,-14
0,1200,NA,NA,5.16,38,NA
0,1200,4,3,4.91,43,NA
0,1100,NA,NA,9.25,-39,-39
0,1200,3,7,4.5,9,-75
1,1200,2,6,6.16,2,200
0,1200,NA,NA,1.16,-3,NA
0,1200,7,6,15.08,35,-11
0,1200,5,9,22.5,258,233
0,1200,2,8,6.16,-176,-38
0,1200,6,7,17.08,-143,40
1,1300,1,6,5.91,-32,-9
0,1100,7,7,5.66,-26,131
0,1200,3,9,19.66,177,161
0,1200,3,5,6.91,2,14
0,1300,3,4,5.5,-23,-31
0,1200,NA,NA,4,-33,NA
0,1200,NA,NA,4.83,-31,NA
0,1200,NA,3,5.83,-61,-52
0,1200,2,2,5.33,-89,-36
1,1300,3,2,5.33,-31,-20
1,1200,3,5,9.66,1006,1349
0,1200,7,9,22.08,-127,-125
1,1200,2,6,0.41,-32,-111
0,1200,6,1,26.33,-6,-15
1,1200,NA,NA,2.08,-28,NA
0,1200,2,6,10.66,-55,168
0,1200,3,6,7.91,-37,-23
0,1200,4,6,11.83,-2,84
0,1200,3,5,1.33,-31,480
0,1300,NA,2,1.16,-53,-37
0,1200,NA,NA,6.83,-14,NA
1,1200,NA,2,6.66,95,108
0,1300,2,1,12.83,-30,81
0,1200,NA,NA,2.5,-83,NA
0,1100,NA,NA,20.33,823,404
0,1200,2,1,3.41,-23,-10
0,1200,2,6,6.58,49,49
0,1200,2,6,1.41,-76,9
0,1200,5,6,28.41,-52,-58
0,1200,5,7,20.33,331,646
0,1300,NA,NA,7.58,209,119
0,1200,3,6,4,438,282
0,1100,NA,7,6.33,45,36
1,1200,7,4,6.91,639,-36
0,1200,3,6,12.91,441,740
0,1200,6,3,4.66,63,175
0,1200,NA,NA,2.91,539,NA
0,1100,3,1,3.83,111,NA
0,1200,NA,NA,6,-130,NA
1,1200,NA,NA,0.25,0,NA
0,1200,NA,NA,3.33,528,NA
0,1200,7,2,7.33,-41,-48
0,1200,3,9,9.33,43,85
0,1200,3,9,17.58,-67,NA
0,1200,3,9,9.58,56,119
0,1200,2,4,4.75,-74,-213
0,1200,4,7,19.16,-156,-170
1,1200,NA,NA,1.58,-75,NA
0,1300,NA,5,9.5,26,-19
0,1200,NA,NA,5.66,71,NA
1,1200,NA,NA,3.91,-7,-26
0,1100,3,7,7.25,-27,NA
0,1200,5,9,1.33,214,182
0,1200,7,1,11.08,48,69
0,1300,NA,NA,2.91,-51,NA
0,1200,NA,NA,3.58,58,-143
0,1100,7,4,14.08,251,132
0,1200,6,3,30.16,-46,17
0,1200,4,6,3,-8,543
0,1200,4,6,22.58,-87,-85
0,1200,4,3,2.41,-136,-135
0,1200,4,7,1.83,13,1300
1,1200,NA,NA,9,-34,NA
0,1200,2,6,7.5,134,-7
0,1100,NA,NA,4.83,-11,-11
0,1200,5,NA,3.16,-20,-15
0,1300,3,4,5.08,-212,-74
0,1200,4,7,5,-60,7
0,1200,6,6,39.5,-43,-42
0,1200,2,8,6,127,97
0,1200,NA,NA,1.16,15,NA
0,1200,NA,NA,21.08,285,NA
1,1200,5,7,23.5,181,44
0,1200,NA,NA,0.25,-6,NA
0,1200,NA,NA,0.5,169,NA
0,1300,NA,NA,11.33,-53,-57
0,1200,3,9,10.75,784,666
0,1200,NA,NA,1.91,-30,121
0,1300,NA,NA,4.25,-13,NA
0,1200,5,6,18,301,780
0,1200,2,3,11.75,-1,-1
0,1200,4,8,2.91,-7,NA
0,1200,NA,NA,6.83,52,NA
0,1200,NA,NA,5.33,31,28
0,1200,3,6,8,-35,-6
0,1200,6,2,30.66,-70,-67
0,1200,4,9,9.16,327,259
0,1200,3,7,7.25,104,98
0,1200,3,3,3.66,-28,55
1,1200,NA,NA,20.25,4,1
0,1300,NA,NA,2.5,-21,-88
1,1200,2,9,8.91,243,97
0,1200,5,5,29.58,28,34
0,1200,4,9,4.25,169,166
0,1200,4,5,2.33,-11,-4
0,1200,NA,NA,4.58,-34,-29
1,1200,2,6,3.66,-116,-138
0,1200,NA,NA,4.83,-156,-145
0,1200,NA,NA,2.66,1,NA
0,1300,NA,NA,11.75,52,46
0,1300,4,9,24.83,171,145
0,1200,NA,NA,18.66,-73,-66
0,1200,3,3,8.33,199,112
0,1200,2,3,7.25,-2,-2
0,1200,3,6,2.58,-27,-15
0,1300,2,7,4.16,91,NA
0,1200,2,4,3.83,1,28
0,1100,3,6,10.25,268,204
0,1200,4,7,0.5,755,NA
0,1200,5,6,11,11,-21
0,1200,2,8,6.58,-38,-38
0,1200,7,4,22.91,472,570
0,1300,7,3,24.08,-30,47
0,1200,6,9,3.5,-4,20
1,1200,4,5,11.66,-63,-103
0,1200,3,6,12.83,-52,-50
0,1100,2,7,5.33,82,-25
0,1200,5,8,19.5,268,328
0,1200,4,6,11,59,30
0,1200,NA,NA,0.41,4,8
0,1200,NA,NA,5.83,-8,12
0,1300,6,3,18,-55,-56
0,1200,5,5,0.5,-28,-27
1,1300,4,8,17.16,-67,-150
0,1200,2,7,4.75,-14,-1
0,1200,6,6,29,95,168
0,1200,4,7,15.58,26,30
0,1200,3,8,4.16,135,129
0,1200,3,8,1.16,186,230
0,1200,5,9,17.83,2,85
0,1200,3,9,5.83,165,24
0,1200,2,6,4.25,131,-11
0,1200,2,7,6.91,-25,-33
0,1300,2,6,2,-48,-39
1,1200,NA,NA,7,-58,NA
0,1200,4,5,2,-26,-26
0,1100,7,4,28,691,612
0,1200,4,6,11.41,94,-135
0,1300,4,3,3.41,5,6
0,1100,7,4,8.33,-27,142
0,1200,NA,NA,0.58,158,58
0,1200,NA,NA,1.5,389,523
0,1100,6,5,5.5,0,4
0,1200,3,9,7.83,1781,885
0,1200,3,7,3.25,361,289
0,1200,3,7,13.83,226,219
0,1200,2,6,5.25,-139,NA
0,1200,4,5,4.91,-66,-66
0,1200,NA,NA,4.83,111,NA
0,1300,4,6,20.66,243,NA
0,1200,3,8,17.41,-3,-6
0,1200,5,4,17,-20,-17
0,1200,2,4,7,9,-52
0,1200,7,9,17.16,116,327
0,1200,2,1,7.33,-33,13
0,1200,NA,NA,2.91,-18,NA
1,1100,NA,NA,2.5,-14,-20
0,1300,NA,NA,0.75,13,-7
0,1200,3,6,2.58,277,292
0,1200,NA,1,7.83,-56,-54
0,1300,3,1,14.91,-8,-16
0,1200,4,4,17.08,24,68
0,1200,2,3,3.75,41,-49
0,1200,5,9,13.83,127,147
1,1200,NA,NA,0.91,332,917
1,1200,2,8,4.08,560,740
0,1200,NA,NA,16.16,16,NA
0,1200,6,5,23.66,-1,-42
0,1200,6,7,26.91,-82,-93
0,1200,4,6,5.41,269,270
1,1200,3,9,13.75,-129,-115
0,1300,NA,NA,5.5,-93,-53
0,1200,NA,NA,9.33,-54,-61
0,1200,7,NA,23.41,-4,-143
1,1200,NA,NA,0.75,-103,-173
0,1200,3,4,2.58,3,-1
0,1100,NA,NA,18,-71,NA
0,1300,NA,NA,9.75,-18,NA
0,1200,7,3,17.5,-127,-127
0,1200,3,8,7.91,-62,-62
0,1300,NA,NA,1.25,102,128
0,1300,NA,NA,0.16,10,NA
